"Date;Open;Low;High;Close;Adj Close;Volume"
"2020-04-30;126.5199966430664;125.22000122070312;127.2699966430664;125.55999755859375;123.89836883544922;6632000"
"2020-05-01;123.19000244140625;121.38999938964844;123.47000122070312;121.87000274658203;120.25720977783203;4925500"
"2020-05-04;120.81999969482422;119.38999938964844;121.97000122070312;121.68000030517578;120.06971740722656;4017900"
"2020-05-05;123.38999938964844;122.47000122070312;124.31999969482422;122.58000183105469;120.95780944824219;3899400"
"2020-05-06;123.23999786376953;122.41000366210938;124.05000305175781;123.16999816894531;121.54000091552734;3864600"
"2020-05-07;122.9800033569336;120.8499984741211;123.26000213623047;121.2300033569336;121.2300033569336;4412600"
"2020-05-08;122.66999816894531;121.05999755859375;123.2300033569336;122.98999786376953;122.98999786376953;5003900"
"2020-05-11;121.80999755859375;120.66999816894531;123.44999694824219;122.58999633789062;122.58999633789062;3533400"
"2020-05-12;123.01000213623047;120.26000213623047;124.31999969482422;120.26000213623047;120.26000213623047;4784500"
"2020-05-13;119.94999694824219;114.8499984741211;119.98999786376953;115.7300033569336;115.7300033569336;5882800"
"2020-05-14;114.56999969482422;111.80999755859375;117.08999633789062;116.94999694824219;116.94999694824219;5259400"
"2020-05-15;115.93000030517578;115.25;117.38999938964844;116.9800033569336;116.9800033569336;4786300"
"2020-05-18;119.87999725341797;119.75;122.36000061035156;121.55999755859375;121.55999755859375;4207600"
"2020-05-19;121.19000244140625;120.13999938964844;122.16999816894531;120.29000091552734;120.29000091552734;3241100"
"2020-05-20;120.93000030517578;120.5999984741211;122.47000122070312;121.37999725341797;121.37999725341797;3840700"
"2020-05-21;120.98999786376953;118.97000122070312;121.72000122070312;119.12000274658203;119.12000274658203;4000900"
"2020-05-22;119.37000274658203;117.58999633789062;119.47000122070312;118.38999938964844;118.38999938964844;4180800"
"2020-05-26;121.30000305175781;121.01000213623047;122.62000274658203;121.76000213623047;121.76000213623047;5469300"
"2020-05-27;123.94000244140625;123.47000122070312;125.83000183105469;125.54000091552734;125.54000091552734;5727500"
"2020-05-28;126.87000274658203;124.22000122070312;126.97000122070312;124.52999877929688;124.52999877929688;3915300"
"2020-05-29;123.66999816894531;122.23999786376953;125.12999725341797;124.9000015258789;124.9000015258789;7930500"
"2020-06-01;124.63999938964844;124.02999877929688;125.75;124.88999938964844;124.88999938964844;2871700"
"2020-06-02;125.66999816894531;124.66000366210938;126.0;126.0;126.0;2978100"
"2020-06-03;127.1500015258789;127.0;129.60000610351562;129.0500030517578;129.0500030517578;3917700"
"2020-06-04;127.77999877929688;127.0199966430664;128.9499969482422;128.88999938964844;128.88999938964844;3864800"
"2020-06-05;133.88999938964844;131.75;134.22999572753906;132.05999755859375;132.05999755859375;5892700"
"2020-06-08;132.27000427246094;132.27000427246094;135.8800048828125;135.75;135.75;5370500"
"2020-06-09;133.52000427246094;131.02000427246094;133.60000610351562;131.8699951171875;131.8699951171875;5393600"
"2020-06-10;132.14999389648438;129.8000030517578;132.22999572753906;129.8699951171875;129.8699951171875;4734800"
"2020-06-11;126.02999877929688;117.83999633789062;126.0999984741211;118.01000213623047;118.01000213623047;11763600"
"2020-06-12;121.25;119.27999877929688;123.12000274658203;121.91000366210938;121.91000366210938;6218100"
"2020-06-15;119.19000244140625;118.29000091552734;122.37000274658203;121.6500015258789;121.6500015258789;5149100"
"2020-06-16;125.0;123.16000366210938;127.5;125.1500015258789;125.1500015258789;5606700"
"2020-06-17;125.83000183105469;123.4000015258789;126.25;124.1500015258789;124.1500015258789;3154200"
"2020-06-18;123.0;122.33000183105469;124.4000015258789;124.16000366210938;124.16000366210938;2865400"
"2020-06-19;126.16999816894531;122.25;126.81999969482422;122.47000122070312;122.47000122070312;8099000"
"2020-06-22;122.12000274658203;120.52999877929688;122.5;121.06999969482422;121.06999969482422;4773500"
"2020-06-23;122.01000213623047;119.2300033569336;122.9000015258789;119.41000366210938;119.41000366210938;6632600"
"2020-06-24;118.31999969482422;115.87999725341797;118.31999969482422;116.41999816894531;116.41999816894531;6751000"
"2020-06-25;116.76000213623047;116.0999984741211;119.20999908447266;119.02999877929688;119.02999877929688;6130600"
"2020-06-26;118.26000213623047;116.26000213623047;118.98999786376953;117.19000244140625;117.19000244140625;10750100"
"2020-06-29;117.9800033569336;50;119.77999877929688;119.75;119.75;4159500"
"2020-06-30;119.19000244140625;119.0;121.19999694824219;120.7699966430664;120.7699966430664;3919500"
